ID,Gender,Firstname,Middle,Lastname,Address,City,State,Zipcode,Telephone,Birthday,Email
601,male,Albert,P,Calton,2753 Aspen Court,Cambridge,MA,2141,617-405-8540,1956/03/20,Albert.P.Calton@dodgit.com
602,male,Craig,L,Marshall,4237 Derek Drive,Twinsburg,OH,44087,330-425-9331,1945/05/15,Craig.L.Marshall@spambob.com
603,female,Amber,G,Dunaway,2498 Richison Drive,Kalispell,MT,59901,406-260-8042,1956/03/23,Amber.G.Dunaway@spambob.com
604,female,Paige,R,Day,997 Larry Street,Milwaukee,WI,53216,414-875-6434,1948/03/06,Paige.R.Day@trashymail.com
605,male,Pedro,S,Kirsch,1445 Koontz Lane,Los Angeles,CA,90017,818-823-0203,1958/11/13,Pedro.S.Kirsch@pookmail.com
606,female,Marilyn,G,Zimmerman,4494 Oakmound Road,Burr Ridge,IL,60527,773-231-5468,1950/10/30,Marilyn.G.Zimmerman@pookmail.com
607,female,Nora,A,Matthews,1135 Stratford Court,Raleigh,NC,27612,919-783-9322,1971/09/10,Nora.A.Matthews@pookmail.com
608,male,Rex,D,Dow,2823 Turkey Pen Lane,Red Level,AL,36474,334-469-9488,1984/02/03,Rex.D.Dow@dodgit.com
609,female,Diane,R,Mcswain,3026 West Virginia Avenue,Central Bridge,NY,12035,518-868-1876,1941/10/18,Diane.R.Mcswain@mailinator.com
610,female,Virginia,R,Smallwood,3978 Bryan Avenue,Minneapolis,MN,55406,651-271-6425,1971/05/27,Virginia.R.Smallwood@dodgit.com
611,female,Lucille,M,Brown,961 Burwell Heights Road,Beaumont,TX,77701,409-543-3459,1940/07/05,Lucille.M.Brown@mailinator.com
612,female,Lucy,M,Dowdy,1684 Cunningham Court,Clarkston,MI,48346,248-620-8277,1957/07/10,Lucy.M.Dowdy@dodgit.com
613,female,Noma,T,Kenny,963 Pratt Avenue,Hoodsport,WA,98548,360-877-1754,1959/03/12,Noma.T.Kenny@trashymail.com
614,female,Elizabeth,E,Hollenbeck,846 Preston Street,Phoenix,AZ,85034,623-215-4467,1983/12/24,Elizabeth.E.Hollenbeck@dodgit.com
615,female,Joan,R,Richards,647 Pursglove Court,Milford Center,OH,43045,937-349-8276,1984/08/15,Joan.R.Richards@mailinator.com
616,male,John,K,Furtado,3146 Clement Street,Atlanta,GA,30303,404-523-0134,1974/09/28,John.K.Furtado@mailinator.com
617,female,Sharon,J,Wilson,564 Fort Street,Seattle,WA,98109,253-221-7075,1982/02/22,Sharon.J.Wilson@dodgit.com
618,female,Thi,E,Satterfield,1483 Barnes Avenue,Cincinnati,OH,45241,513-691-0732,1950/01/01,Thi.E.Satterfield@mailinator.com
619,male,Dallas,M,Dinh,3607 Washington Street,Corpus Christi,TX,78401,361-345-7213,1976/11/05,Dallas.M.Dinh@dodgit.com
620,male,Wayne,T,Sullivan,3009 Hart Street,Hartford,CT,6182,860-359-4507,1945/02/21,Wayne.T.Sullivan@trashymail.com
621,male,Robert,C,Stevens,1223 Marietta Street,Vallejo,CA,94590,707-654-7397,1946/07/21,Robert.C.Stevens@dodgit.com
622,female,Linda,E,Maxwell,1993 Monroe Street,Sugar Land,TX,77478,713-406-7330,1952/07/29,Linda.E.Maxwell@pookmail.com
623,male,Omar,E,Martinez,4804 Hott Street,Oklahoma City,OK,73109,405-634-0550,1972/06/04,Omar.E.Martinez@spambob.com
624,female,Mildred,G,Lamm,3019 Lewis Street,Aurora,IL,60506,630-859-3137,1978/08/15,Mildred.G.Lamm@mailinator.com
625,female,Rhonda,A,Early,4013 Dane Street,Loomis,WA,98827,509-223-6987,1984/08/22,Rhonda.A.Early@dodgit.com
626,female,Myrtle,R,Wilder,671 Wilkinson Court,Fort Myers,FL,33901,239-477-5724,1960/04/13,Myrtle.R.Wilder@mailinator.com
627,male,Daryl,V,Kruger,1252 Oak Ridge Drive,Sikeston,MO,63801,573-472-8131,1947/01/17,Daryl.V.Kruger@trashymail.com
628,male,Dennis,J,Weber,1448 Wilson Street,Palm Springs,CA,92262,760-898-3422,1974/03/11,Dennis.J.Weber@dodgit.com
629,female,Barbara,J,Whitton,4356 Thompson Street,Los Angeles,CA,90017,562-676-3961,1945/10/02,Barbara.J.Whitton@dodgit.com
